id,variante_principale,variante_ingredients,variante_permutation,actions_principale,actions_ingredients,actions_permutation,nb_principale,nb_ingredients,nb_permutation,title,category,number_of_steps,number_of_ingredients,complexity,flag_t6_complet,flag_t6_doublon,flag_t6_vide,flag_t6_anti_dup,flag_t6_global,cluster
00fb4c04b8,"['chop', 'slice', 'stab', 'heat', 'stir', 'drain', 'add', 'cook', 'cover', 'serve']","['chop', 'slice', 'dice', 'strain', 'measure', 'pour', 'mix', 'heat', 'stir', 'drain', 'add', 'cook', 'cover', 'serve']","['heat', 'stab', 'slice', 'chop', 'stir', 'add', 'cook', 'cover', 'drain', 'serve']","['chop', 'slice', 'stab', 'heat', 'stir', 'drain', 'add', 'cook', 'cover', 'serve']","['chop', 'slice', 'dice', 'strain', 'measure', 'pour', 'mix', 'heat', 'stir', 'drain', 'add', 'cook', 'cover', 'serve']","['heat', 'stab', 'slice', 'chop', 'stir', 'add', 'cook', 'cover', 'drain', 'serve']",10,14,10,Sausage and Peppers - voted the BEST,other,30,12,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,3
17c7bc78e6,"['chop', 'mix', 'heat', 'spray', 'dump', 'serve']","['chop', 'measure', 'pour', 'crumb', 'grind', 'mix', 'spray', 'dump', 'heat', 'serve']","['heat', 'spray', 'dump', 'mix', 'chop', 'serve']","['chop', 'mix', 'heat', 'spray', 'dump', 'serve']","['chop', 'measure', 'pour', 'crumb', 'grind', 'mix', 'spray', 'dump', 'heat', 'serve']","['heat', 'spray', 'dump', 'mix', 'chop', 'serve']",6,10,6,Mom's Thanksgiving Stuffing,other,10,8,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,22
17cda4a2e6,"['mix', 'knead', 'bake', 'cool', 'serve']","['measure', 'sift', 'pour', 'mix', 'knead', 'proof']","['knead', 'mix', 'bake', 'cool', 'serve']","['mix', 'knead', 'bake', 'cool', 'serve']","['measure', 'sift', 'pour', 'mix', 'knead', 'proof']","['knead', 'mix', 'bake', 'cool', 'serve']",5,6,5,Classic White Bread (abm),bakery,4,8,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,9
17c3238fb8,"['mix', 'dice', 'beat', 'fold', 'fill', 'drizzle']","['chop', 'measure', 'pour', 'mix', 'beat', 'fold', 'dice', 'pat', 'stir']","['dice', 'beat', 'mix', 'fold', 'fill', 'drizzle']","['mix', 'dice', 'beat', 'fold', 'fill', 'drizzle']","['chop', 'measure', 'pour', 'mix', 'beat', 'fold', 'dice', 'pat', 'stir']","['dice', 'beat', 'mix', 'fold', 'fill', 'drizzle']",6,9,6,World's Best Cannoli,other,19,10,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,10
01000cfd2e,"['whisk', 'cut', 'pat', 'stamp', 'bake', 'brush', 'serve']","['whisk', 'measure', 'cut', 'sprinkle', 'mix', 'pour', 'stir', 'pat', 'stamp', 'bake', 'brush', 'serve']","['whisk', 'pat', 'cut', 'stamp', 'bake', 'brush', 'serve']","['whisk', 'cut', 'pat', 'stamp', 'bake', 'brush', 'serve']","['whisk', 'measure', 'cut', 'sprinkle', 'mix', 'pour', 'stir', 'pat', 'stamp', 'bake', 'brush', 'serve']","['whisk', 'pat', 'cut', 'stamp', 'bake', 'brush', 'serve']",7,12,7,Sweet Potato Biscuits,bakery,11,8,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
0102327582,"['blend', 'pour', 'garnish', 'serve']","['thaw', 'measure', 'blend', 'pour', 'garnish', 'slice']","['pour', 'blend', 'garnish', 'serve']","['blend', 'pour', 'garnish', 'serve']","['thaw', 'measure', 'blend', 'pour', 'garnish', 'slice']","['pour', 'blend', 'garnish', 'serve']",4,6,4,Angel Frost Recipe,other,5,4,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,5
00fe4fc36f,"['preheat', 'mix', 'bake', 'cool', 'frost', 'sprinkle']","['chop', 'measure', 'sift', 'whisk', 'beat', 'fold', 'mix', 'toast', 'blend']","['mix', 'preheat', 'bake', 'cool', 'frost', 'sprinkle']","['preheat', 'mix', 'bake', 'cool', 'frost', 'sprinkle']","['chop', 'measure', 'sift', 'whisk', 'beat', 'fold', 'mix', 'toast', 'blend']","['mix', 'preheat', 'bake', 'cool', 'frost', 'sprinkle']",6,9,6,Spice Cake & Toasted Walnut Cream Cheese Frosting,bakery,40,20,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,13
00fcda312e,"['slice', 'sprinkle', 'rinse', 'combine', 'stir', 'boil', 'add', 'transfer', 'seal']","['chop', 'measure', 'pour', 'sprinkle', 'rinse', 'combine', 'stir', 'add', 'transfer', 'seal', 'fill']","['sprinkle', 'slice', 'rinse', 'add', 'combine', 'stir', 'boil', 'transfer', 'seal']","['slice', 'sprinkle', 'rinse', 'combine', 'stir', 'boil', 'add', 'transfer', 'seal']","['chop', 'measure', 'pour', 'sprinkle', 'rinse', 'combine', 'stir', 'add', 'transfer', 'seal', 'fill']","['sprinkle', 'slice', 'rinse', 'add', 'combine', 'stir', 'boil', 'transfer', 'seal']",9,11,9,Bread And Butter Cucumbers Recipe,bakery,11,7,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,8
01060d337d,"['chop', 'mix', 'pack', 'bake', 'serve']","['chop', 'mince', 'dice', 'measure', 'mix', 'combine', 'pour', 'pack', 'bake', 'serve']","['pack', 'mix', 'chop', 'bake', 'serve']","['chop', 'mix', 'pack', 'bake', 'serve']","['chop', 'mince', 'dice', 'measure', 'mix', 'combine', 'pour', 'pack', 'bake', 'serve']","['pack', 'mix', 'chop', 'bake', 'serve']",5,10,5,Meat And Cheese Loaf Recipe,bakery,4,11,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
00e7021295,"['chop', 'mix', 'wrap', 'heat', 'serve']","['chop', 'slice', 'mince', 'mix', 'pour', 'wrap', 'heat', 'season', 'serve']","['wrap', 'heat', 'mix', 'chop', 'serve']","['chop', 'mix', 'wrap', 'heat', 'serve']","['chop', 'slice', 'mince', 'mix', 'pour', 'wrap', 'heat', 'season', 'serve']","['wrap', 'heat', 'mix', 'chop', 'serve']",5,9,5,Barbequed Baby Purple Potatoes Recipe,stew,4,6,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,22
0102939feb,"['defrost', 'chop', 'heat', 'stir', 'cook', 'add', 'drain', 'serve']","['defrost', 'chop', 'measure', 'heat', 'stir', 'cook', 'add', 'pour', 'drain', 'season', 'serve']","['heat', 'defrost', 'chop', 'cook', 'stir', 'add', 'drain', 'serve']","['defrost', 'chop', 'heat', 'stir', 'cook', 'add', 'drain', 'serve']","['defrost', 'chop', 'measure', 'heat', 'stir', 'cook', 'add', 'pour', 'drain', 'season', 'serve']","['heat', 'defrost', 'chop', 'cook', 'stir', 'add', 'drain', 'serve']",8,11,8,Roasted Garlic Chicken Stroganoff,other,17,12,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,15
00fed4798b,"['slice', 'whisk', 'cover', 'refrigerate', 'serve']","['chop', 'slice', 'measure', 'whisk', 'pour', 'mix', 'cover', 'refrigerate', 'serve']","['whisk', 'slice', 'cover', 'refrigerate', 'serve']","['slice', 'whisk', 'cover', 'refrigerate', 'serve']","['chop', 'slice', 'measure', 'whisk', 'pour', 'mix', 'cover', 'refrigerate', 'serve']","['whisk', 'slice', 'cover', 'refrigerate', 'serve']",5,9,5,Marinated Cucumbers,other,14,8,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,3
00f6063e66,"['chop', 'mix', 'stir', 'serve']","['dice', 'drain', 'chop', 'measure', 'pour', 'mix']","['stir', 'chop', 'mix', 'serve']","['chop', 'mix', 'stir', 'serve']","['dice', 'drain', 'chop', 'measure', 'pour', 'mix']","['stir', 'chop', 'mix', 'serve']",4,6,4,Black Bean Avocado Corn Salsa,other,2,9,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,6
010b47ffa3,"['chop', 'mix', 'pour', 'bake', 'serve']","['chop', 'squeeze', 'measure', 'grate', 'mix', 'pour', 'bake']","['pour', 'chop', 'mix', 'bake', 'serve']","['chop', 'mix', 'pour', 'bake', 'serve']","['chop', 'squeeze', 'measure', 'grate', 'mix', 'pour', 'bake']","['pour', 'chop', 'mix', 'bake', 'serve']",5,7,5,Basic Zucchini Slice,other,4,7,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,18
17c8062eb6,"['pierce', 'combine', 'cook', 'transfer', 'pour', 'stir', 'reduce', 'whisk', 'serve']","['chop', 'measure', 'pour', 'mix', 'combine', 'stir', 'reduce', 'whisk', 'slice', 'serve']","['combine', 'pierce', 'cook', 'pour', 'transfer', 'stir', 'whisk', 'reduce', 'serve']","['pierce', 'combine', 'cook', 'transfer', 'pour', 'stir', 'reduce', 'whisk', 'serve']","['chop', 'measure', 'pour', 'mix', 'combine', 'stir', 'reduce', 'whisk', 'slice', 'serve']","['combine', 'pierce', 'cook', 'pour', 'transfer', 'stir', 'whisk', 'reduce', 'serve']",9,10,9,Ham With Port-Raisin Sauce,other,12,8,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,15
01089e44aa,"['chop', 'mix', 'blend', 'season', 'serve']","['chop', 'dice', 'measure', 'pour', 'mix', 'blend', 'season']","['blend', 'season', 'mix', 'chop', 'serve']","['chop', 'mix', 'blend', 'season', 'serve']","['chop', 'dice', 'measure', 'pour', 'mix', 'blend', 'season']","['blend', 'season', 'mix', 'chop', 'serve']",5,7,5,Tomato Vinaigrette,other,1,6,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,7
010e3d735f,"['chop', 'arrange', 'serve']","['pluck', 'tear', 'chop', 'arrange', 'pick']","['arrange', 'chop', 'serve']","['chop', 'arrange', 'serve']","['pluck', 'tear', 'chop', 'arrange', 'pick']","['arrange', 'chop', 'serve']",3,5,3,Vegetable Garnish Plate,other,4,5,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
010f1bc956,"['whisk', 'mix', 'chill', 'freeze', 'add', 'serve']","['measure', 'whisk', 'pour', 'grate', 'chop', 'mix', 'freeze', 'add', 'stir', 'serve']","['mix', 'whisk', 'add', 'freeze', 'chill', 'serve']","['whisk', 'mix', 'chill', 'freeze', 'add', 'serve']","['measure', 'whisk', 'pour', 'grate', 'chop', 'mix', 'freeze', 'add', 'stir', 'serve']","['mix', 'whisk', 'add', 'freeze', 'chill', 'serve']",6,10,6,Heavenly Hash Ice Cream,other,22,11,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
17ce520b75,"['moisten', 'dip', 'fill', 'pour', 'stir', 'squeeze', 'garnish']","['measure', 'combine', 'simmer', 'strain', 'press', 'chill', 'shake']","['fill', 'moisten', 'dip', 'pour', 'squeeze', 'stir', 'garnish']","['moisten', 'dip', 'fill', 'pour', 'stir', 'squeeze', 'garnish']","['measure', 'combine', 'simmer', 'strain', 'press', 'chill', 'shake']","['fill', 'moisten', 'dip', 'pour', 'squeeze', 'stir', 'garnish']",7,7,7,Hibiscus Margarita,other,17,11,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,5
17cb4761c2,"['chop', 'mix', 'heat', 'stir', 'serve']","['chop', 'dice', 'mince', 'measure', 'pour', 'combine', 'stir', 'heat']","['heat', 'stir', 'mix', 'chop', 'serve']","['chop', 'mix', 'heat', 'stir', 'serve']","['chop', 'dice', 'mince', 'measure', 'pour', 'combine', 'stir', 'heat']","['heat', 'stir', 'mix', 'chop', 'serve']",5,8,5,Potato and Canadian Bacon Slow Cooker Chowder,stew,4,12,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,6
17cba79f86,"['chop', 'mix', 'heat', 'serve']","['chop', 'measure', 'pour', 'mix', 'heat', 'season', 'serve']","['heat', 'chop', 'mix', 'serve']","['chop', 'mix', 'heat', 'serve']","['chop', 'measure', 'pour', 'mix', 'heat', 'season', 'serve']","['heat', 'chop', 'mix', 'serve']",4,7,4,Artichokes With Honey Mustard Dip Recipe,quick_prep,10,5,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,16
17cdbcb536,"['chop', 'mix', 'toss', 'refrigerate', 'serve']","['chop', 'slice', 'shred', 'measure', 'mix', 'toss', 'refrigerate', 'season']","['toss', 'chop', 'mix', 'refrigerate', 'serve']","['chop', 'mix', 'toss', 'refrigerate', 'serve']","['chop', 'slice', 'shred', 'measure', 'mix', 'toss', 'refrigerate', 'season']","['toss', 'chop', 'mix', 'refrigerate', 'serve']",5,8,5,Carrot and Golden Raisin (Sultana) Salad,quick_prep,2,11,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,17
17d1e0d0bb,"['chop', 'mix', 'heat', 'finish', 'serve']","['chop', 'measure', 'pour', 'mix', 'heat', 'finish', 'serve']","['heat', 'chop', 'mix', 'finish', 'serve']","['chop', 'mix', 'heat', 'finish', 'serve']","['chop', 'measure', 'pour', 'mix', 'heat', 'finish', 'serve']","['heat', 'chop', 'mix', 'finish', 'serve']",5,7,5,Basic Meat Mixture Recipe,other,4,4,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,22
179f9e344a,"['soak', 'drain', 'whisk', 'toss', 'season', 'sprinkle', 'serve']","['chop', 'measure', 'soak', 'drain', 'whisk', 'toast', 'toss', 'season', 'sprinkle']","['soak', 'whisk', 'drain', 'toss', 'season', 'sprinkle', 'serve']","['soak', 'drain', 'whisk', 'toss', 'season', 'sprinkle', 'serve']","['chop', 'measure', 'soak', 'drain', 'whisk', 'toast', 'toss', 'season', 'sprinkle']","['soak', 'whisk', 'drain', 'toss', 'season', 'sprinkle', 'serve']",7,9,7,"Kale Salad With Pine Nuts, Currants & Parmesan",quick_prep,8,9,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
17d2e6ea67,"['microwave', 'mash', 'strain', 'mix', 'taste', 'serve']","['chop', 'measure', 'pour', 'warm', 'mash', 'strain', 'mix', 'taste']","['mash', 'strain', 'microwave', 'mix', 'taste', 'serve']","['microwave', 'mash', 'strain', 'mix', 'taste', 'serve']","['chop', 'measure', 'pour', 'warm', 'mash', 'strain', 'mix', 'taste']","['mash', 'strain', 'microwave', 'mix', 'taste', 'serve']",6,8,6,Peppered Goat Cheese Mashed Potatoes,stew,8,7,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,21
010b56ba81,"['knead', 'mix', 'heat', 'glaze', 'serve']","['measure', 'sift', 'chop', 'pour', 'knead', 'mix', 'heat', 'glaze', 'serve']","['mix', 'knead', 'glaze', 'heat', 'serve']","['knead', 'mix', 'heat', 'glaze', 'serve']","['measure', 'sift', 'chop', 'pour', 'knead', 'mix', 'heat', 'glaze', 'serve']","['mix', 'knead', 'glaze', 'heat', 'serve']",5,9,5,Basic Bread Dough,bakery,20,11,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,9
0110b504d7,"['poke', 'break', 'microwave', 'dip', 'stick', 'serve']","['select', 'count', 'chop', 'measure', 'break', 'poke', 'microwave', 'dip', 'stick', 'arrange']","['break', 'poke', 'microwave', 'stick', 'dip', 'serve']","['poke', 'break', 'microwave', 'dip', 'stick', 'serve']","['select', 'count', 'chop', 'measure', 'break', 'poke', 'microwave', 'dip', 'stick', 'arrange']","['break', 'poke', 'microwave', 'stick', 'dip', 'serve']",6,10,6,For Valentine's Day -- Super Easy Chocolates,other,6,4,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
0111ae3cdf,"['stir', 'mix', 'coat', 'bake', 'cool', 'serve']","['chop', 'stir', 'measure', 'mix', 'spritz', 'coat', 'bake', 'cool', 'serve']","['mix', 'stir', 'coat', 'bake', 'cool', 'serve']","['stir', 'mix', 'coat', 'bake', 'cool', 'serve']","['chop', 'stir', 'measure', 'mix', 'spritz', 'coat', 'bake', 'cool', 'serve']","['mix', 'stir', 'coat', 'bake', 'cool', 'serve']",6,9,6,Sophie's yogurt dipped oriental breadcrumb chicken,bakery,15,9,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,13
010e7c4dbc,"['chop', 'heat', 'cook', 'mix', 'serve']","['chop', 'measure', 'pour', 'drain', 'stir', 'whisk', 'cook', 'mix', 'season']","['heat', 'chop', 'mix', 'cook', 'serve']","['chop', 'heat', 'cook', 'mix', 'serve']","['chop', 'measure', 'pour', 'drain', 'stir', 'whisk', 'cook', 'mix', 'season']","['heat', 'chop', 'mix', 'cook', 'serve']",5,9,5,Loaded Chicken Carbonara,other,23,11,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,4
010cf3877a,"['chop', 'mix', 'heat', 'bake', 'scrape', 'serve']","['chop', 'measure', 'pour', 'mix', 'rub', 'fill', 'sprinkle', 'serve']","['heat', 'chop', 'mix', 'bake', 'scrape', 'serve']","['chop', 'mix', 'heat', 'bake', 'scrape', 'serve']","['chop', 'measure', 'pour', 'mix', 'rub', 'fill', 'sprinkle', 'serve']","['heat', 'chop', 'mix', 'bake', 'scrape', 'serve']",6,8,6,Baked Pumpkin Rice Pudding,other,9,9,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,1
179b6e3a9b,"['snap', 'melt', 'spread', 'sandwich', 'top', 'refrigerate', 'serve']","['snap', 'melt', 'microwave', 'spread', 'sandwich', 'top', 'refrigerate', 'serve']","['melt', 'snap', 'spread', 'sandwich', 'top', 'refrigerate', 'serve']","['snap', 'melt', 'spread', 'sandwich', 'top', 'refrigerate', 'serve']","['snap', 'melt', 'microwave', 'spread', 'sandwich', 'top', 'refrigerate', 'serve']","['melt', 'snap', 'spread', 'sandwich', 'top', 'refrigerate', 'serve']",7,8,7,Homemade Nutty Bars,other,8,3,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
0105429674,"['chop', 'toss', 'roast', 'boil', 'mash', 'steam', 'melt', 'cook', 'combine', 'bake', 'broil', 'serve']","['chop', 'dice', 'measure', 'pour', 'toss', 'roast', 'boil', 'mash', 'steam', 'melt', 'cook', 'combine', 'season', 'bake', 'broil', 'serve']","['toss', 'chop', 'roast', 'boil', 'mash', 'steam', 'melt', 'cook', 'combine', 'bake', 'broil', 'serve']","['chop', 'toss', 'roast', 'boil', 'mash', 'steam', 'melt', 'cook', 'combine', 'bake', 'broil', 'serve']","['chop', 'dice', 'measure', 'pour', 'toss', 'roast', 'boil', 'mash', 'steam', 'melt', 'cook', 'combine', 'season', 'bake', 'broil', 'serve']","['toss', 'chop', 'roast', 'boil', 'mash', 'steam', 'melt', 'cook', 'combine', 'bake', 'broil', 'serve']",12,16,12,Chicken Pot Pie With Potato Crust,bakery,15,15,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,21
17c006bf0c,"['chop', 'saute', 'stir', 'add', 'simmer', 'serve']","['chop', 'measure', 'pour', 'stir', 'add', 'simmer', 'season', 'mix', 'heat']","['saute', 'chop', 'add', 'stir', 'simmer', 'serve']","['chop', 'saute', 'stir', 'add', 'simmer', 'serve']","['chop', 'measure', 'pour', 'stir', 'add', 'simmer', 'season', 'mix', 'heat']","['saute', 'chop', 'add', 'stir', 'simmer', 'serve']",6,9,6,Creamy Turkey Soup,stew,6,15,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,12
01122bb07c,"['chop', 'mix', 'fill', 'top', 'cover', 'serve']","['chop', 'crush', 'measure', 'mix', 'whip', 'pour', 'fill', 'top']","['fill', 'chop', 'mix', 'top', 'cover', 'serve']","['chop', 'mix', 'fill', 'top', 'cover', 'serve']","['chop', 'crush', 'measure', 'mix', 'whip', 'pour', 'fill', 'top']","['fill', 'chop', 'mix', 'top', 'cover', 'serve']",6,8,6,"""Hot Fudge"" Cheesecake Sundae Push-Pops",bakery,9,5,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,3
17d56dc993,"['preheat', 'spread', 'beat', 'slice', 'bake', 'invert', 'drizzle']","['chop', 'measure', 'sprinkle', 'beat', 'mix', 'trim', 'save', 'blend']","['beat', 'preheat', 'slice', 'spread', 'bake', 'invert', 'drizzle']","['preheat', 'spread', 'beat', 'slice', 'bake', 'invert', 'drizzle']","['chop', 'measure', 'sprinkle', 'beat', 'mix', 'trim', 'save', 'blend']","['beat', 'preheat', 'slice', 'spread', 'bake', 'invert', 'drizzle']",7,8,7,Hawaiian Coffee Cake,bakery,22,9,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,10
17d60ab94a,"['pour', 'beat', 'mix', 'stir', 'microwave', 'serve']","['chop', 'measure', 'pour', 'beat', 'mix', 'stir', 'add', 'combine']","['microwave', 'pour', 'beat', 'stir', 'mix', 'serve']","['pour', 'beat', 'mix', 'stir', 'microwave', 'serve']","['chop', 'measure', 'pour', 'beat', 'mix', 'stir', 'add', 'combine']","['microwave', 'pour', 'beat', 'stir', 'mix', 'serve']",6,8,6,Micro Bran Muffins Recipe,bakery,6,10,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,15
011357189d,"['mix', 'heat', 'fluff', 'serve']","['chop', 'measure', 'pour', 'melt', 'stir', 'fluff']","['heat', 'fluff', 'mix', 'serve']","['mix', 'heat', 'fluff', 'serve']","['chop', 'measure', 'pour', 'melt', 'stir', 'fluff']","['heat', 'fluff', 'mix', 'serve']",4,6,4,Beef Flavored Rice,other,7,4,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,22
17d486f227,"['cook', 'mix', 'spray', 'crumble', 'bake', 'serve']","['chop', 'measure', 'pour', 'spray', 'crumble', 'grind', 'mix', 'bake']","['mix', 'cook', 'spray', 'crumble', 'bake', 'serve']","['cook', 'mix', 'spray', 'crumble', 'bake', 'serve']","['chop', 'measure', 'pour', 'spray', 'crumble', 'grind', 'mix', 'bake']","['mix', 'cook', 'spray', 'crumble', 'bake', 'serve']",6,8,6,Pasta Cleanacabinet,other,7,9,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
17b9a6a89c,"['wash', 'melt', 'arrange', 'bake', 'sprinkle', 'pour', 'garnish']","['wash', 'chop', 'measure', 'melt', 'mix', 'arrange', 'sprinkle', 'pour', 'garnish']","['melt', 'arrange', 'wash', 'bake', 'sprinkle', 'pour', 'garnish']","['wash', 'melt', 'arrange', 'bake', 'sprinkle', 'pour', 'garnish']","['wash', 'chop', 'measure', 'melt', 'mix', 'arrange', 'sprinkle', 'pour', 'garnish']","['melt', 'arrange', 'wash', 'bake', 'sprinkle', 'pour', 'garnish']",7,9,7,Cousin Debbie's Baked Italian Scampi,other,14,9,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,5
010b4fde85,"['measure', 'mix', 'heat', 'fill', 'serve']","['measure', 'chop', 'mix', 'heat', 'strain', 'fill', 'seal']","['heat', 'measure', 'mix', 'fill', 'serve']","['measure', 'mix', 'heat', 'fill', 'serve']","['measure', 'chop', 'mix', 'heat', 'strain', 'fill', 'seal']","['heat', 'measure', 'mix', 'fill', 'serve']",5,7,5,Remake Directions for Jam or Jelly,other,28,4,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
17d7c588e0,"['chop', 'heat', 'cook', 'assemble', 'melt', 'serve']","['chop', 'slice', 'beat', 'measure', 'pour', 'mix', 'assemble', 'melt']","['heat', 'assemble', 'chop', 'cook', 'melt', 'serve']","['chop', 'heat', 'cook', 'assemble', 'melt', 'serve']","['chop', 'slice', 'beat', 'measure', 'pour', 'mix', 'assemble', 'melt']","['heat', 'assemble', 'chop', 'cook', 'melt', 'serve']",6,8,6,Breakfast Patty Melt,other,15,6,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,22
17c7548916,"['knead', 'roll', 'cut', 'fry', 'drain', 'serve']","['chop', 'measure', 'mix', 'knead', 'roll', 'cut', 'fry', 'drain', 'drizzle']","['roll', 'knead', 'cut', 'drain', 'fry', 'serve']","['knead', 'roll', 'cut', 'fry', 'drain', 'serve']","['chop', 'measure', 'mix', 'knead', 'roll', 'cut', 'fry', 'drain', 'drizzle']","['roll', 'knead', 'cut', 'drain', 'fry', 'serve']",6,9,6,Provolone Turnovers,other,25,8,elevee,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,2
17dcdc002e,"['grease', 'mix', 'heat', 'stir', 'pour', 'mush', 'serve']","['measure', 'chop', 'grease', 'mix', 'heat', 'stir', 'pour', 'mush', 'sprinkle', 'serve']","['grease', 'heat', 'mix', 'stir', 'mush', 'pour', 'serve']","['grease', 'mix', 'heat', 'stir', 'pour', 'mush', 'serve']","['measure', 'chop', 'grease', 'mix', 'heat', 'stir', 'pour', 'mush', 'sprinkle', 'serve']","['grease', 'heat', 'mix', 'stir', 'mush', 'pour', 'serve']",7,10,7,Ooey Gooey Yums! (Marshmallow treats),other,9,4,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,15
17d4fe72e2,"['melt', 'swirl', 'cook', 'cool', 'serve']","['chop', 'measure', 'melt', 'mix', 'sprinkle', 'pour', 'cook', 'cool', 'serve']","['melt', 'cook', 'swirl', 'cool', 'serve']","['melt', 'swirl', 'cook', 'cool', 'serve']","['chop', 'measure', 'melt', 'mix', 'sprinkle', 'pour', 'cook', 'cool', 'serve']","['melt', 'cook', 'swirl', 'cool', 'serve']",5,9,5,Brown Butter Broiled Grapefruit,other,12,4,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,14
17e1069902,"['pour', 'heat', 'stir', 'drain', 'plate']","['select', 'measure', 'pour', 'heat', 'stir', 'drain', 'plate']","['heat', 'pour', 'stir', 'drain', 'plate']","['pour', 'heat', 'stir', 'drain', 'plate']","['select', 'measure', 'pour', 'heat', 'stir', 'drain', 'plate']","['heat', 'pour', 'stir', 'drain', 'plate']",5,7,5,Homemade Ricotta Cheese,other,14,2,moyenne,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,15
010ba2c809,"['prep', 'mix', 'heat', 'bake', 'serve']","['chop', 'measure', 'pour', 'mix', 'beat', 'stir', 'heat', 'bake', 'finish']","['prep', 'heat', 'mix', 'bake', 'serve']","['prep', 'mix', 'heat', 'bake', 'serve']","['chop', 'measure', 'pour', 'mix', 'beat', 'stir', 'heat', 'bake', 'finish']","['prep', 'heat', 'mix', 'bake', 'serve']",5,9,5,Pineapple Ricotta Pie Recipe,bakery,1,10,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,1
17e3649aec,"['chop', 'mix', 'marinade', 'grill', 'thicken', 'serve']","['chop', 'grate', 'measure', 'pour', 'mix', 'marinade', 'grill', 'thicken', 'serve']","['marinade', 'chop', 'grill', 'mix', 'thicken', 'serve']","['chop', 'mix', 'marinade', 'grill', 'thicken', 'serve']","['chop', 'grate', 'measure', 'pour', 'mix', 'marinade', 'grill', 'thicken', 'serve']","['marinade', 'chop', 'grill', 'mix', 'thicken', 'serve']",6,9,6,Grilled Molasses Pork Tenderloin,other,3,9,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,22
17d8679b42,"['chop', 'layer', 'spread', 'assemble', 'serve']","['chop', 'slice', 'peel', 'pit', 'mix', 'measure', 'spread', 'layer', 'assemble']","['layer', 'chop', 'assemble', 'spread', 'serve']","['chop', 'layer', 'spread', 'assemble', 'serve']","['chop', 'slice', 'peel', 'pit', 'mix', 'measure', 'spread', 'layer', 'assemble']","['layer', 'chop', 'assemble', 'spread', 'serve']",5,9,5,Hearty Veggie Sandwiches!,quick_prep,4,9,simple,CONFORME,CONFORME,CONFORME,CONFORME,CONFORME,22
